second,packet_drop_rate,byte_drop_rate,avg_timeDelta,std_timeDelta,skw_timeDelta,kur_timeDelta,vmaf,exp_id,video,problem,value
1.0,0.0,0.0273,0.0025,0.0095,3.7909,12.7407,99.87753576190478,4274,scarlet,drop,2.30
2.0,0.0,0.0276,0.0036,0.0117,3.0,7.1819,100.0,4274,scarlet,drop,2.30
3.0,0.0,0.0274,0.0037,0.0118,2.973,7.0224,23.13654836363636,4274,scarlet,drop,2.30
4.0,0.0269,0.0546,0.0035,0.0113,3.1181,7.9507,2.0741791818181823,4274,scarlet,drop,2.30
5.0,0.0459,0.0719,0.0037,0.0116,2.9791,7.0893,0.7031430000000001,4274,scarlet,drop,2.30
6.0,0.0632,0.0825,0.0037,0.0117,2.9682,7.044,0.17923231818181817,4274,scarlet,drop,2.30
7.0,0.0325,0.0605,0.0037,0.0116,2.9669,7.014,1.2033742727272727,4274,scarlet,drop,2.30
8.0,0.0345,0.0624,0.0036,0.0114,3.0542,7.5485,2.4113419545454544,4274,scarlet,drop,2.30
9.0,0.0436,0.0721,0.0038,0.0117,2.9245,6.7525,6.398337238095237,4274,scarlet,drop,2.30
10.0,0.0521,0.0772,0.0036,0.0114,2.9873,7.1019,5.555479500000001,4274,scarlet,drop,2.30
11.0,0.0207,0.0484,0.0042,0.0124,2.7181,5.5747,5.854516136363637,4274,scarlet,drop,2.30
12.0,0.0498,0.0754,0.004,0.0121,2.8148,6.1195,4.139181045454546,4274,scarlet,drop,2.30
13.0,0.0311,0.0588,0.004,0.012,2.8253,6.1811,3.876711761904762,4274,scarlet,drop,2.30
14.0,0.0571,0.0847,0.0039,0.0119,2.8727,6.4635,0.7767957272727273,4274,scarlet,drop,2.30
15.0,0.0578,0.0866,0.0045,0.0128,2.6188,5.0519,3.661548045454545,4274,scarlet,drop,2.30
16.0,0.0561,0.0816,0.0054,0.0138,2.2895,3.4019,1.3900605909090908,4274,scarlet,drop,2.30
17.0,0.0381,0.0684,0.0033,0.011,3.2115,8.5846,7.859760476190476,4274,scarlet,drop,2.30
18.0,0.0542,0.0776,0.0044,0.0126,2.6373,5.1234,7.684239000000002,4274,scarlet,drop,2.30
19.0,0.0528,0.0813,0.0037,0.0116,2.9715,7.0598,7.6468110909090905,4274,scarlet,drop,2.30
20.0,0.0423,0.0705,0.0037,0.0115,2.9842,7.1133,7.678968409090908,4274,scarlet,drop,2.30
21.0,0.0327,0.0576,0.0034,0.0111,3.1785,8.3629,9.289576523809524,4274,scarlet,drop,2.30
22.0,0.0462,0.0742,0.0044,0.0126,2.6617,5.2791,6.92883990909091,4274,scarlet,drop,2.30
23.0,0.043,0.0704,0.0041,0.0121,2.8077,6.0951,3.765066818181818,4274,scarlet,drop,2.30
